id,name,category,description,price_krw,tags,example_query,embedding_text
1,로지텍 M331 무소음 무선 마우스,마우스,조용한 클릭음과 안정적인 무선 연결을 제공하는 사무용 마우스,25000,"사무용, 조용한 클릭, 무선, 가성비",조용한 사무용 마우스 추천,"로지텍 M331 무소음 무선 마우스. 카테고리: 마우스. 설명: 조용한 클릭음과 안정적인 무선 연결을 제공하는 사무용 마우스. 특징: 사무용, 조용한 클릭, 무선, 가성비. 가격: 25000원."
2,로지텍 MX Master 3S,마우스,정밀한 스크롤과 멀티 디바이스 연결을 지원하는 고급 생산성 마우스,129000,"고급형, 생산성, 무선, 멀티페어링",손목이 편한 고급 업무용 마우스,"로지텍 MX Master 3S. 카테고리: 마우스. 설명: 정밀한 스크롤과 멀티 디바이스 연결을 지원하는 고급 생산성 마우스. 특징: 고급형, 생산성, 무선, 멀티페어링. 가격: 129000원."
3,앱코 A660 유선 게이밍 마우스,마우스,빠른 반응속도와 RGB 조명을 갖춘 가벼운 유선 게이밍 마우스,29000,"게이밍, 유선, RGB, 빠른 반응",저렴한 게이밍 마우스,"앱코 A660 유선 게이밍 마우스. 카테고리: 마우스. 설명: 빠른 반응속도와 RGB 조명을 갖춘 가벼운 유선 게이밍 마우스. 특징: 게이밍, 유선, RGB, 빠른 반응. 가격: 29000원."
4,레이저 데스에더 V3,마우스,인체공학형 디자인과 높은 DPI를 제공하는 FPS 게이밍 마우스,89000,"FPS, 게이밍, 인체공학, 고성능",FPS 게임용 마우스,"레이저 데스에더 V3. 카테고리: 마우스. 설명: 인체공학형 디자인과 높은 DPI를 제공하는 FPS 게이밍 마우스. 특징: FPS, 게이밍, 인체공학, 고성능. 가격: 89000원."
5,샤오미 미 듀얼모드 무선 마우스,마우스,블루투스와 USB 리시버를 모두 지원하는 심플한 무선 마우스,19000,"무선, 블루투스, 휴대용, 저가",노트북에 들고 다닐 무선 마우스,"샤오미 미 듀얼모드 무선 마우스. 카테고리: 마우스. 설명: 블루투스와 USB 리시버를 모두 지원하는 심플한 무선 마우스. 특징: 무선, 블루투스, 휴대용, 저가. 가격: 19000원."
6,커세어 카타르 엘리트 무선,마우스,가벼운 무게와 빠른 무선 연결을 가진 게이밍 마우스,75000,"무선 게이밍, 경량, 빠른 반응",가벼운 무선 게이밍 마우스,"커세어 카타르 엘리트 무선. 카테고리: 마우스. 설명: 가벼운 무게와 빠른 무선 연결을 가진 게이밍 마우스. 특징: 무선 게이밍, 경량, 빠른 반응. 가격: 75000원."
7,키크론 K2 Pro 갈축,키보드,맥과 윈도우를 모두 지원하는 컴팩트한 무선 기계식 키보드,139000,"기계식, 무선, 갈축, 맥 호환",맥북용 무선 기계식 키보드,"키크론 K2 Pro 갈축. 카테고리: 키보드. 설명: 맥과 윈도우를 모두 지원하는 컴팩트한 무선 기계식 키보드. 특징: 기계식, 무선, 갈축, 맥 호환. 가격: 139000원."
8,앱코 K660 청축,키보드,선명한 타건감과 LED 조명을 제공하는 입문용 기계식 게이밍 키보드,39000,"청축, 게이밍, LED, 입문용",저렴한 청축 기계식 키보드,"앱코 K660 청축. 카테고리: 키보드. 설명: 선명한 타건감과 LED 조명을 제공하는 입문용 기계식 게이밍 키보드. 특징: 청축, 게이밍, LED, 입문용. 가격: 39000원."
9,로지텍 K380,키보드,작고 가벼우며 태블릿과 노트북에 연결하기 좋은 블루투스 키보드,42000,"블루투스, 휴대용, 멀티페어링, 조용함",아이패드에 쓸 휴대용 키보드,"로지텍 K380. 카테고리: 키보드. 설명: 작고 가벼우며 태블릿과 노트북에 연결하기 좋은 블루투스 키보드. 특징: 블루투스, 휴대용, 멀티페어링, 조용함. 가격: 42000원."
10,레오폴드 FC750R 저소음 적축,키보드,소음이 적고 안정적인 타건감을 가진 텐키리스 기계식 키보드,159000,"저소음, 적축, 텐키리스, 사무용",조용한 기계식 키보드,"레오폴드 FC750R 저소음 적축. 카테고리: 키보드. 설명: 소음이 적고 안정적인 타건감을 가진 텐키리스 기계식 키보드. 특징: 저소음, 적축, 텐키리스, 사무용. 가격: 159000원."
11,한성컴퓨터 GK898B 무접점,키보드,부드럽고 조용한 타건감을 제공하는 무접점 블루투스 키보드,149000,"무접점, 블루투스, 조용함, 사무용",타건감 좋은 조용한 키보드,"한성컴퓨터 GK898B 무접점. 카테고리: 키보드. 설명: 부드럽고 조용한 타건감을 제공하는 무접점 블루투스 키보드. 특징: 무접점, 블루투스, 조용함, 사무용. 가격: 149000원."
12,커세어 K70 RGB PRO,키보드,빠른 입력과 화려한 RGB를 지원하는 고급 게이밍 키보드,189000,"게이밍, RGB, 고급형, 빠른 입력",고성능 게이밍 키보드,"커세어 K70 RGB PRO. 카테고리: 키보드. 설명: 빠른 입력과 화려한 RGB를 지원하는 고급 게이밍 키보드. 특징: 게이밍, RGB, 고급형, 빠른 입력. 가격: 189000원."
13,LG 울트라기어 27GP850,모니터,27인치 QHD 해상도와 165Hz 주사율을 제공하는 게이밍 모니터,399000,"27인치, QHD, 165Hz, 게이밍",QHD 고주사율 게이밍 모니터,"LG 울트라기어 27GP850. 카테고리: 모니터. 설명: 27인치 QHD 해상도와 165Hz 주사율을 제공하는 게이밍 모니터. 특징: 27인치, QHD, 165Hz, 게이밍. 가격: 399000원."
14,삼성 오디세이 G5 32인치,모니터,32인치 커브드 화면과 144Hz 주사율을 가진 몰입형 게이밍 모니터,330000,"32인치, 커브드, 144Hz, 게이밍",큰 화면 게이밍 모니터,"삼성 오디세이 G5 32인치. 카테고리: 모니터. 설명: 32인치 커브드 화면과 144Hz 주사율을 가진 몰입형 게이밍 모니터. 특징: 32인치, 커브드, 144Hz, 게이밍. 가격: 330000원."
